ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55
61,113,3,29,32,0,0,100,-7,7,8,33,12,28,3,2,2,36,72,8,6,2,54
71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,-8,2,-8,0,67
79,66,19,35,5,0,0,100,-7,7,8,5,0,60,-7,0,0,35,36,2,3,0,100
66,258,7,94,17,2,2,95,19,6,2,19,3,16,0,1,1,32,-8,5,1,0,55
60,236,3,83,41,1,0,86,17,6,5,31,1,30,1,3,3,82,-8,6,2,3,75
61,264,11,110,12,4,3,69,4,2,4,16,2,38,0,2,2,2,-8,1,1,0,33
61,425,34,103,13,4,4,79,37,0,3,20,0,58,0,0,0,78,66,4,1,1,100
68,161,2,58,1,0,0,67,53,6,6,3,2,33,0,3,3,37,91,1,1,0,100
65,49,9,23,11,0,0,100,-7,7,8,12,1,25,-7,1,1,76,74,4,2,3,67
